_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
2,Communities,Complete,82500000,0,1,0,0,43.661701,-79.726047,2025
5,Communities,Complete,0,0,1,0,0,44.304996,-78.32616,2025
8,Communities,Complete,0,0,1,0,0,43.662665,-79.385172,2025
9,Communities,Complete,956400000,0,1,0,0,43.653618,-79.3862,2025
10,Communities,Complete,82500000,0,1,0,0,43.752606,-79.536505,2025
11,Communities,Complete,31000000,0,1,1,1,43.879,-79.03,2025
12,Communities,Complete,1200000,0,1,0,0,52.55,-82.26,2025
13,Communities,Complete,64640000,0,1,0,0,43.78324,-79.701581,2025
14,Communities,Under construction,0,0,1,0,1,42.39653112,-82.22730515,2025
15,Communities,Complete,490000,0,1,0,1,43.9748,-78.17,2025
18,Communities,Complete,562147,0,1,0,0,46.531489,-84.161024,2025
19,Communities,Complete,20000,0,1,0,0,43.537647,-80.276365,2025
20,Communities,Complete,86000000,0,1,0,0,43.263655,-79.855355,2025
21,Communities,Complete,1500000,0,1,0,0,43.305094,-80.220977,2025
22,Communities,Complete,1975000,0,1,0,1,44.3493,-78.7326,2025
23,Communities,Under construction,480300,0,1,0,0,49.765004,-94.487563,2025
24,Communities,Complete,3600000,0,1,0,1,48.1549,-80.03,2025
25,Communities,Complete,58103,0,1,0,0,43.845211,-79.304821,2025
26,Communities,Complete,414097,0,1,0,0,43.883436,-79.235061,2025
27,Communities,Complete,8800,0,1,0,0,43.808412,-79.409406,2025
28,Communities,Complete,51890000,0,1,0,0,43.566536,-79.65746,2025
29,Communities,Complete,8800000,0,1,0,1,46.3091,-79.4608,2025
30,Communities,Complete,46650000,0,1,0,0,43.467517,-79.687666,2025
35,Communities,Under construction,371370000,0,1,0,1,45.400974,-75.651314,2025
36,Communities,Under construction,0,0,1,1,1,43.879,-79.03,2025
37,Communities,Complete,4000000,0,1,0,1,45.259265,-75.357609,2025
38,Communities,Complete,55000,0,1,0,0,43.857619,-79.448352,2025
39,Communities,Complete,15000,0,1,0,0,43.882638,-79.421899,2025
40,Communities,Complete,6500,0,1,0,0,43.955075,-79.458392,2025
42,Communities,Under construction,599000,0,1,0,0,50.098878,-91.914688,2025
44,Communities,Complete,13800,0,1,0,0,43.760026,-79.462488,2025
