_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Communities,Attorney General,Barrie,Barrie Courthouse - Accessibility,Planning,2025,"Reconfiguration of existing CSD space to create accessible public entry, counters, and public waiting area. Relocation of courtroom 14 with improved accessibility.",Improved accessibility to public areas.,Simcoe,Central,75 Mulcaster Street,L4M 3P2,,0,,Yes,,,,,
2,Communities,Attorney General,Brampton,Brampton (A. Grenville and William Davis) Courthouse Addition - Phase 2,Complete,23-Dec,"Fit-out of the top four floors of the building addition, as well as renovations to the Land Registry Office. This project is being  delivered  with the Toronto Region Bail Centre as a P3 bundle, and the project budget of $82.3M includes both projects.","Increased number of courtrooms and associated administrative spaces, as well as additional judicial parking spaces.",Peel,Central,7755 Hurontario Street,L6W 4T1,,82500000,,Yes,,,,43.661701,-79.726047
3,Communities,Attorney General,Fort Frances,Fort Frances Courthouse - Security  Improvements,Planning,2024,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Rainy River,Northwest,333 Church Street,P9A 1C9,,0,,Yes,,,,,
4,Communities,Attorney General,Gore Bay,Gore Bay Courthouse - New Courtroom,Planning,To Be Determined,Creating new courtroom that is accessible.,Improved access to justice.,Manitoulin,Northeast,27 Phipps Street,P0P 1H0,,0,,Yes,,,,,
5,Communities,Attorney General,Peterborough,Planning for new courthouse in Peterborough,Complete,17-Nov,Plan to replace old courthouse,Plan will inform future Ontario Court of Justice and Superior Court of Justice needs in the community,Peterborough,East,,,,0,,Yes,,,,44.304996,-78.32616
6,Communities,Attorney General,Peterborough,Peterborough Courthouse - New Courtroom,Planning,To Be Determined,Construction of new space at 470 Water Street and  renovation of space at 70 Simcoe Street which includes a new courtroom.,"Improved accessibility, security and access to justice with an additional courtroom.",Peterborough,East,70 Simcoe St,K9H 7G9,,0,,Yes,,,,,
7,Communities,Attorney General,Sudbury,Sudbury Courthouse - Security Improvements,Planning,25-Oct,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Sudbury,Northeast,155 Elm Street,P3C 1T6,,0,,Yes,,,,,
8,Communities,Attorney General,Toronto,Moving all Toronto-based Attorney General agencies and tribunals into one location,Complete,19-Jul,Renovating building at 25 Grosvenor St.,Centralized Tribunal operations will reduce energy use and footprint of ministry in Toronto,Toronto,Central,25 Grosvenor St,,,0,,Yes,,,,43.662665,-79.385172
9,Communities,Attorney General,Toronto,New courthouse in Toronto,Complete,23-Jan,New provincial courthouse,Improved justice services to Torontonians in state-of-the-art facility,Toronto,Central,10 Armoury St,,,956400000,,Yes,,,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/new-toronto-courthouse/,43.653618,-79.3862
10,Communities,Attorney General,Toronto,Toronto Region Bail Centre,Complete,22-Dec,"Renovation of existing courthouse at 2201 Finch Ave. W.  This project is being  delivered  with the Brampton Courthouse Addition Phase 2 as a P3 bundle, and the project budget of $82.3M includes both projects.",Accommodation of the bail program associated with the new Toronto courthouse. ,Toronto,Central,2201 Finch Ave. W.,M9M 2Y9,,82500000,,Yes,,,,43.752606,-79.536505
11,Communities,"Children, Community and Social Services",Ajax,Grandview Children's Centre,Complete,24-Oct,New construction of a children's treatment centre in Ajax.,"The new centre will create more treatment spaces, shorter wait times and a modern facility so that families can access the care they need sooner.",Durham,Central,1461 Harwood Ave North,L1T 4T9,,31000000,,Yes,Yes,Yes,https://www.news.ontario.ca/en/backgrounder/52484/grandview-childrens-centre-redevelopment-project,43.879,-79.03
12,Communities,"Children, Community and Social Services",Attawapiskat First Nation,Attawapiskat Youth Centre,Complete,18-Apr,Convert old band office into a youth centre,Improve outcomes for youth in Attawapiskat,Kenora,Northwest,,,,1200000,,Yes,,,http://www.attawapiskat.org/,52.55,-82.26
13,Communities,"Children, Community and Social Services",Brampton,ErinoakKids Centre for Treatment and Development,Complete,18-Jan,Construction of new building,"At 121,000 sq. ft., new centre to include 26-bed respite house therapy pool and adapted fitness facility, two accessible playgrounds and more for children with special needs and their families",Peel,Central,10145 McVean Dr,L6P 4K7,,64640000,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Brampton-site.aspx,43.78324,-79.701581
14,Communities,"Children, Community and Social Services",Chatham-Kent,Children's Treatment Centre of Chatham-Kent Redevelopment Project,Under construction,26-Sep,"New construction of an approx. 58,000 sq.ft. Children's Treatment Centre (CTC) in Chatham.",The new facility will improve service capacity and provision for children and youth with special needs in the Chatham-Kent area.,Chatham-Kent,Southwest,901 McNaughton Avenue West(McNaughton Ave W & Bear Line Rd),N7L 5P7,,0,,Yes,,Yes,https://www.news.ontario.ca/en/release/1001527/ontario-building-new-childrens-treatment-centre-in-chatham-kent ,42.39653112,-82.22730515
15,Communities,"Children, Community and Social Services",Cobourg,Five Counties Children's Treatment Centre ,Complete,17-Jul,Retrofit of building,Consolidate and enhance community hub,Northumberland,East,800 Division St.,K9A 5V2,,490000,,Yes,,Yes,http://www.fivecounties.on.ca/,43.9748,-78.17
16,Communities,"Children, Community and Social Services",Dryden,Hoshizaki House Crisis Shelter,Complete,18-Dec,Demolition and reconstruction of building,"New 8,000 sq. ft. (approx.) VAW shelter with parking lot, site access and landscaping to provide better, more secure and accessible facilities",Kenora,Northwest,Address is confidential,,,3100000,,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2016/governments-of-canada-and-ontario-build-new-violence-against-women-emergency-shelter-for-victims-of,,
17,Communities,"Children, Community and Social Services",Durham,Anti-Human Trafficking Specialized Residential Sites - Murray McKinnon Foundation ,Complete,21-Sep,Implementation of a specialized site in Durham for children and youth who are victims of human-trafficking. ,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes. ",Durham,Central,Address is confidential,,,0,,Yes,,,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools",,
18,Communities,"Children, Community and Social Services",Garden River First Nation,Dan Pine Healing Lodge ,Complete,16-Mar,Upgrades and renovations to existing building,Space to provide programs and services combining traditional healing and contemporary therapeutic interventions,Algoma,Northeast,200 Anishnabe Point Rd,P0S 1C0,,562147,,Yes,,,,46.531489,-84.161024
19,Communities,"Children, Community and Social Services",Guelph,Improvements to Community Living Guelph Wellington,Complete,17-Mar,Renovation of bathrooms and adding sprinkler systems,"Provide better, more secure and accessible facilities",Wellington,Southwest,87 Silvercreek Parkway,N1H 6S4,,20000,,Yes,,,,43.537647,-80.276365
20,Communities,"Children, Community and Social Services",Hamilton,McMaster Children's Hospital - New Ron Joyce Children's Health Centre,Complete,15-Oct,New building,"Accessible treatment centre delivers autism services, child/youth mental health services, developmental pediatrics and rehab, fitting and manufacturing of prosthetics/orthotics for children and adults",Hamilton,Central,325 Wellington St N,L8L 0A4,,86000000,,Yes,,,http://www.infrastructureontario.ca/Ron-Joyce-Children%E2%80%99s-Health-Centre/,43.263655,-79.855355
21,Communities,"Children, Community and Social Services",Hamilton,Christian Horizons Rebuild,Complete,18-Mar,Partial demolition and reconstruction of existing building,"4,800 sq. ft. group home with 6 beds, providing better, more secure and accessibility facilities",Hamilton,Central,Concession 6,N0B1L0,,1500000,,Yes,,,https://www.christian-horizons.org/article/2593-ontario-supporting-rebuild-of-branchton-residence,43.305094,-80.220977
22,Communities,"Children, Community and Social Services",Kawartha Lakes,Boys & Girls Club of Kawartha Lakes Community Hub Enhancement,Complete,17-Nov,Expansion of building and two parking lots,"Construction of a 5,775 sq. ft. suite and a 2,200 sq. ft. section 23 classroom",Kawartha Lakes,East,107 Lindsay St,K9V 2M5,,1975000,,Yes,,Yes,http://www.bgckl.com/,44.3493,-78.7326
23,Communities,"Children, Community and Social Services",Kenora,Partner Facility Renewal - Waasegiizhig Nanaandawe'iyewigamig,Under construction,25-Sep,Structural,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,212 4th Ave South,P9N 1Y9,,480300,,Yes,,,,49.765004,-94.487563
24,Communities,"Children, Community and Social Services",Kirkland Lake,North Eastern Ontario Family and Children's Services,Complete,17-Jun,Expansion and renovation of existing building,Multi-service community hub,Timiskaming,Northeast,6 Tweedsmuir Rd,P2N 1A3,,3600000,,Yes,,Yes,http://www.neofacs.org/,48.1549,-80.03
25,Communities,"Children, Community and Social Services",Markham,Repairs at Participation House (Farintosh House),Complete,17-Mar,"Prepare, prime and paint 14 vertical structural posts ","Provide better, more secure and accessible facilities",York,Central,7811 Kennedy Rd,L3R 2C8,,58103,,Yes,,,,43.845211,-79.304821
26,Communities,"Children, Community and Social Services",Markham,Repairs and replacements at Participation House,Complete,17-Mar,"Includes resurfaced driveway, walkway and back patio; repainted structural posts; repaired foundation; new roof, magnetic locking, smoke-barrier door, cooling units, flooring and walls in five shower rooms","Provide better, more secure and accessible facilities",York,Central,9 Butternut Lane,L3P 3M1,,414097,,Yes,,,,43.883436,-79.235061
27,Communities,"Children, Community and Social Services",Markham,Repairs at Participation House (Henderson House),Complete,17-Mar,Replace driveway and interlocking walkway to wheelchair ramp,"Provide better, more secure and accessible facilities",York,Central,113 Henderson Ave,L3T 2L3,,8800,,Yes,,,,43.808412,-79.409406
28,Communities,"Children, Community and Social Services",Mississauga,ErinoakKids Centre for Treatment and Development,Complete,18-Jan,Construction of new building,"At 93,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Peel,Central,1230 Central Parkway W,L5C 0A5,,51890000,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Mississauga-site.aspx,43.566536,-79.65746
29,Communities,"Children, Community and Social Services",North Bay,HANDS The Family Help Network - North Eastern Ontario Family Help and Treatment Centre,Complete,18-Feb,Construction of a new building,"18,000 sq. ft. of clinical and administrative space, with the ability to add 2 floors in the future for colocation and community hub partnerships",Nipissing,Northeast,391 Oak St,P1B 1A3,,8800000,,Yes,,Yes,https://news.ontario.ca/mcys/en/2016/12/helping-more-children-and-families-in-north-bay.html https://www.thefamilyhelpnetwork.ca/,46.3091,-79.4608
30,Communities,"Children, Community and Social Services",Oakville,ErinoakKids Centre for Treatment and Development,Complete,18-Jan,"Construction of a new treatment centre, next to the new Oakville hospital","At 73,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Halton,Central,2000 Glenorchy Rd,L6M 0X4,,46650000,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Oakville-site.aspx,43.467517,-79.687666
31,Communities,"Children, Community and Social Services",Orillia,Green Haven Shelter for Women,Complete,20-Mar,Construction of a new shelter on a newly acquired site.,Construction of a new 12-bed accessible shelter with flexible design to allow for potential future expansion.,Simcoe,Central,Address is confidential,,,6200000,,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence,,
