_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
2,Communities,Brampton,Complete,2024-12-23,Peel,Central,82500000,43.661701,-79.726047,23-Dec,0,1,0,0
9,Communities,Toronto,Complete,2024-01-23,Toronto,Central,956400000,43.653618,-79.3862,23-Jan,0,1,0,0
10,Communities,Toronto,Complete,2024-12-22,Toronto,Central,82500000,43.752606,-79.536505,22-Dec,0,1,0,0
11,Communities,Ajax,Complete,2024-10-24,Durham,Central,31000000,43.879,-79.03,24-Oct,0,1,1,1
12,Communities,Attawapiskat First Nation,Complete,2024-04-18,Kenora,Northwest,1200000,52.55,-82.26,18-Apr,0,1,0,0
13,Communities,Brampton,Complete,2024-01-18,Peel,Central,64640000,43.78324,-79.701581,18-Jan,0,1,0,0
15,Communities,Cobourg,Complete,2024-07-17,Northumberland,East,490000,43.9748,-78.17,17-Jul,0,1,0,1
18,Communities,Garden River First Nation,Complete,2024-03-16,Algoma,Northeast,562147,46.531489,-84.161024,16-Mar,0,1,0,0
19,Communities,Guelph,Complete,2024-03-17,Wellington,Southwest,20000,43.537647,-80.276365,17-Mar,0,1,0,0
20,Communities,Hamilton,Complete,2024-10-15,Hamilton,Central,86000000,43.263655,-79.855355,15-Oct,0,1,0,0
21,Communities,Hamilton,Complete,2024-03-18,Hamilton,Central,1500000,43.305094,-80.220977,18-Mar,0,1,0,0
22,Communities,Kawartha Lakes,Complete,2024-11-17,Kawartha Lakes,East,1975000,44.3493,-78.7326,17-Nov,0,1,0,1
23,Communities,Kenora,Under construction,2024-09-25,Kenora,Northwest,480300,49.765004,-94.487563,25-Sep,0,1,0,0
24,Communities,Kirkland Lake,Complete,2024-06-17,Timiskaming,Northeast,3600000,48.1549,-80.03,17-Jun,0,1,0,1
25,Communities,Markham,Complete,2024-03-17,York,Central,58103,43.845211,-79.304821,17-Mar,0,1,0,0
26,Communities,Markham,Complete,2024-03-17,York,Central,414097,43.883436,-79.235061,17-Mar,0,1,0,0
27,Communities,Markham,Complete,2024-03-17,York,Central,8800,43.808412,-79.409406,17-Mar,0,1,0,0
28,Communities,Mississauga,Complete,2024-01-18,Peel,Central,51890000,43.566536,-79.65746,18-Jan,0,1,0,0
29,Communities,North Bay,Complete,2024-02-18,Nipissing,Northeast,8800000,46.3091,-79.4608,18-Feb,0,1,0,1
30,Communities,Oakville,Complete,2024-01-18,Halton,Central,46650000,43.467517,-79.687666,18-Jan,0,1,0,0
35,Communities,Ottawa,Under construction,2024-11-27,Ottawa,East,371370000,45.400974,-75.651314,27-Nov,0,1,0,1
37,Communities,Prescott and Russell,Complete,2024-10-16,Prescott and Russell,East,4000000,45.259265,-75.357609,16-Oct,0,1,0,1
38,Communities,Richmond Hill,Complete,2024-03-17,York,Central,55000,43.857619,-79.448352,17-Mar,0,1,0,0
39,Communities,Richmond Hill,Complete,2024-03-17,York,Central,15000,43.882638,-79.421899,17-Mar,0,1,0,0
40,Communities,Richmond Hill,Complete,2024-03-17,York,Central,6500,43.955075,-79.458392,17-Mar,0,1,0,0
42,Communities,Sioux Lookout,Under construction,2024-09-25,Kenora,Northwest,599000,50.098878,-91.914688,25-Sep,0,1,0,0
44,Communities,Toronto,Complete,2024-03-17,Toronto,Central,13800,43.760026,-79.462488,17-Mar,0,1,0,0
45,Communities,Toronto,Complete,2024-03-17,Toronto,Central,18900,43.730964,-79.429606,17-Mar,0,1,0,0
46,Communities,Toronto,Complete,2024-03-17,Toronto,Central,14300,43.726082,-79.426837,17-Mar,0,1,0,0
47,Communities,Toronto,Complete,2024-03-17,Toronto,Central,22300,43.776978,-79.42111,17-Mar,0,1,0,0
51,Communities,Toronto,Under construction,2024-09-25,Toronto,Central,390000,43.697081,-79.392812,25-Sep,0,1,0,0
52,Communities,Toronto,Under construction,2024-09-25,Toronto,Central,254000,43.734753,-79.380527,25-Sep,0,1,0,0
53,Education,Barrie,Complete,2024-10-18,Simcoe,Central,27700000,44.412167,-79.668206,18-Oct,0,1,1,1
54,Education,Belleville,Complete,2024-04-18,Hastings,East,3200000,44.177,-77.389367,18-Apr,0,1,1,1
55,Education,Greater Sudbury,Complete,2024-04-18,Sudbury,Northeast,60700000,46.466651,-80.974417,18-Apr,0,1,1,1
57,Education,Guelph,Complete,2024-03-21,Wellington,Southwest,37650000,43.528436,-80.22352,21-Mar,0,1,0,1
58,Education,Hamilton,Complete,2024-01-19,Hamilton,Central,78225000,43.260405,-79.92172,19-Jan,0,1,1,1
59,Education,Hamilton,Complete,2024-11-16,Hamilton,Central,45500000,43.261943,-79.916687,16-Nov,0,1,0,1
62,Education,Kingston,Complete,2024-11-18,Frontenac,East,31834810,44.224388,-76.491475,18-Nov,0,1,1,1
63,Education,Kingston,Complete,2024-11-18,Frontenac,East,87465000,44.226158,-76.48569,18-Nov,0,1,1,1
64,Education,Kingston,Complete,2024-10-18,Frontenac,East,32100000,44.222576,-76.528369,18-Oct,0,1,1,1
66,Education,London,Complete,2024-11-16,Middlesex,Southwest,21000000,43.00856,-81.2635,16-Nov,0,1,0,1
69,Education,Mississauga,Complete,2024-11-16,Peel,Central,67700000,43.59109,-79.6471,16-Nov,0,1,0,1
70,Education,Mississauga,Complete,2024-12-16,Peel,Central,52500000,43.54864,-79.6621,16-Dec,0,1,0,1
71,Education,Niagara,Complete,2024-10-18,Niagara,Central,10377528,43.117125,-79.243199,18-Oct,0,1,1,1
72,Education,North Bay,Complete,2024-10-18,Nipissing,Northeast,12500000,46.343662,-79.492758,18-Oct,0,1,1,1
73,Education,Oakville,Complete,2024-10-18,Halton,Central,21400000,43.468486,-79.700134,18-Oct,0,1,1,1
74,Education,Oshawa,Complete,2024-04-18,Durham,Central,35000000,43.945572,-78.89464,18-Apr,0,1,1,0
76,Education,Ottawa,Complete,2024-04-18,Ottawa,East,44900000,45.349784,-75.755431,18-Apr,0,1,1,1
77,Education,Ottawa,Complete,2024-07-18,Ottawa,East,20465299,45.385577,-75.69572,18-Jul,0,1,1,1
79,Education,Ottawa,Complete,2024-04-18,Ottawa,East,29000000,45.440482,-75.636813,18-Apr,0,1,1,1
81,Education,Ottawa,Complete,2024-04-18,Ottawa,East,115000000,45.42325,-75.6827,18-Apr,0,1,1,1
82,Education,St. Catharines,Complete,2024-12-18,Niagara,Central,26130766,43.119064,-79.248241,18-Dec,0,1,0,1
84,Education,Thunder Bay,Complete,2024-07-18,Thunder Bay,Northwest,20000000,48.40302,-89.269096,18-Jul,0,1,1,1
85,Education,Timmins,Complete,2024-11-18,Cochrane,Northeast,11700000,48.486745,-81.201321,18-Nov,0,1,1,1
86,Education,Toronto,Complete,2024-11-18,Toronto,Central,72428380,43.747763,-79.475341,18-Nov,0,1,1,1
89,Education,Toronto,Complete,2024-04-15,Toronto,Central,74700000,43.729229,-79.606738,15-Apr,0,1,0,1
90,Education,Toronto,Complete,2024-02-19,Toronto,Central,28613343,43.657877,-79.380456,19-Feb,0,1,1,1
92,Education,Toronto,Complete,2024-08-19,Toronto,Central,115100000,43.657519,-79.377563,19-Aug,0,1,0,1
93,Education,Toronto,Complete,2024-12-18,Toronto,Central,84970000,43.794823,-79.348712,18-Dec,0,1,1,1
94,Education,Toronto,Complete,2024-12-15,Toronto,Central,651000,43.795147,-79.349619,15-Dec,0,1,0,1
95,Education,Toronto,Complete,2024-08-18,Toronto,Central,99920000,43.659829,-79.396361,18-Aug,0,1,0,1
96,Education,Toronto,Complete,2024-04-18,Toronto,Central,189800000,43.664964,-79.39833,18-Apr,0,1,1,1
97,Education,Toronto,Complete,2024-04-16,Toronto,Central,50000000,43.772352,-79.506476,16-Apr,0,1,0,1
98,Education,Toronto,Complete,2024-11-18,Toronto,Central,48000000,43.77284,-79.494995,18-Nov,0,1,1,1
99,Education,Toronto,Complete,2024-02-19,Toronto,Central,46682103,43.774103,-79.498907,19-Feb,0,0,1,1
100,Education,Toronto,Complete,2024-10-21,Toronto,Central,126000000,43.64425,-79.36858,21-Oct,0,1,1,0
102,Education,Waterloo,Complete,2024-12-16,Waterloo,Southwest,72600000,43.475259,-80.529485,16-Dec,0,1,0,1
